Claim_ID,Customer_ID,Policy_Type,Claim_Amount,Status,Processing_Time_Days,Region,Submission_Date,Approval_Date
1,19671,Travel,162309.38,Approved,26.0,East,2024-01-17,2024-02-12
2,12369,Health,8225.19,Rejected,23.0,West,2024-11-09,2024-12-02
3,14065,Health,41427.54,Approved,18.0,North,2024-07-03,2024-07-21
4,11463,Property,132706.53,Approved,41.0,East,2024-11-29,2025-01-09
5,11907,Motor,78273.07,Approved,12.0,East,2024-07-02,2024-07-14
6,16201,Motor,196584.12,Pending,,West,2024-05-22,
7,17895,Travel,134753.93,Approved,6.0,North,2024-02-13,2024-02-19
8,17825,Motor,191527.04,Approved,22.0,North,2024-01-12,2024-02-03
9,13965,Travel,44282.06,Approved,27.0,East,2024-01-08,2024-02-04
10,19508,Travel,173471.62,Pending,,South,2024-03-20,
11,10181,Motor,67663.7,Rejected,41.0,East,2024-10-23,2024-12-03
12,16000,Travel,197965.14,Pending,,East,2024-06-10,
13,17245,Motor,35749.29,Approved,33.0,East,2024-10-28,2024-11-30
14,19152,Health,105686.26,Approved,5.0,East,2024-08-03,2024-08-08
15,10989,Health,159604.68,Approved,39.0,West,2024-09-04,2024-10-13
16,19917,Property,89365.28,Rejected,9.0,North,2024-01-29,2024-02-07
17,16272,Motor,96276.39,Approved,10.0,West,2024-09-28,2024-10-08
18,10706,Motor,197339.38,Approved,18.0,West,2024-05-12,2024-05-30
19,16652,Health,87935.09,Rejected,42.0,West,2024-01-05,2024-02-16
20,14847,Health,122794.06,Approved,14.0,East,2024-08-31,2024-09-14
21,14330,Health,15635.23,Approved,10.0,South,2024-01-30,2024-02-09
22,11620,Motor,169230.97,Approved,7.0,North,2024-04-26,2024-05-03
23,14649,Motor,131392.77,Approved,28.0,South,2024-06-26,2024-07-24
24,16596,Motor,83783.92,Rejected,43.0,West,2024-09-17,2024-10-30
25,14681,Travel,8153.06,Approved,38.0,West,2024-08-22,2024-09-29
26,18044,Motor,120375.42,Approved,40.0,South,2024-05-20,2024-06-29
27,13580,Motor,7468.28,Approved,44.0,South,2024-10-31,2024-12-14
28,18614,Property,5234.7,Approved,25.0,South,2024-12-10,2025-01-04
29,14015,Motor,125139.22,Approved,10.0,West,2024-02-19,2024-02-29
30,13196,Property,41858.33,Approved,43.0,West,2024-09-26,2024-11-08
31,16149,Health,42418.07,Approved,12.0,North,2024-04-17,2024-04-29
32,14553,Travel,132387.96,Approved,36.0,North,2024-02-15,2024-03-22
33,14010,Motor,15470.95,Approved,30.0,West,2024-03-22,2024-04-21
34,16665,Motor,66114.08,Approved,9.0,South,2024-05-05,2024-05-14
35,14646,Health,34139.22,Rejected,18.0,South,2024-03-24,2024-04-11
36,16090,Travel,118134.39,Rejected,8.0,North,2024-10-16,2024-10-24
37,13750,Health,134044.21,Rejected,13.0,West,2024-03-11,2024-03-24
38,19837,Motor,145621.49,Approved,16.0,North,2024-06-23,2024-07-09
39,12536,Health,54770.09,Approved,30.0,North,2024-11-11,2024-12-11
40,13259,Health,22403.7,Approved,25.0,East,2024-11-25,2024-12-20
41,16879,Health,20343.31,Approved,38.0,East,2024-12-02,2025-01-09
42,17438,Health,88099.55,Approved,15.0,East,2024-12-19,2025-01-03
43,12511,Travel,189439.66,Approved,12.0,South,2024-03-31,2024-04-12
44,12090,Health,47457.16,Pending,,West,2024-12-16,
45,14634,Motor,55064.61,Approved,18.0,West,2024-09-05,2024-09-23
46,10567,Motor,24673.32,Approved,28.0,West,2024-05-11,2024-06-08
47,10120,Motor,123086.2,Rejected,4.0,West,2024-06-17,2024-06-21
48,16768,Motor,137575.21,Approved,3.0,East,2024-02-29,2024-03-03
49,18507,Motor,130371.59,Rejected,5.0,South,2024-12-02,2024-12-07
50,10620,Motor,172920.4,Rejected,19.0,South,2024-08-28,2024-09-16
51,14063,Motor,99853.04,Pending,,East,2024-07-08,
52,10453,Motor,31219.12,Approved,22.0,South,2024-12-05,2024-12-27
53,12734,Travel,61434.0,Approved,15.0,East,2024-10-07,2024-10-22
54,10958,Property,134173.84,Approved,9.0,West,2024-08-19,2024-08-28
55,10762,Motor,124558.78,Approved,3.0,East,2024-10-15,2024-10-18
56,19552,Property,108545.61,Approved,27.0,West,2024-10-01,2024-10-28
57,14335,Health,138178.06,Approved,20.0,West,2024-11-08,2024-11-28
58,16520,Motor,129291.22,Approved,43.0,North,2024-01-15,2024-02-27
59,12051,Motor,176858.35,Approved,29.0,East,2024-02-10,2024-03-10
60,16989,Health,119273.19,Rejected,30.0,North,2024-07-26,2024-08-25
61,18388,Health,156827.26,Rejected,6.0,East,2024-02-29,2024-03-06
62,17807,Health,53497.9,Approved,44.0,East,2024-12-30,2025-02-12
63,10260,Motor,137245.6,Approved,29.0,North,2024-08-27,2024-09-25
64,16746,Motor,180927.85,Rejected,42.0,North,2024-04-05,2024-05-17
65,15890,Motor,80217.8,Approved,27.0,East,2024-10-04,2024-10-31
66,16053,Motor,156925.32,Rejected,6.0,South,2024-06-08,2024-06-14
67,11280,Motor,146333.91,Pending,,West,2024-10-08,
68,10135,Motor,16607.61,Approved,10.0,North,2024-07-27,2024-08-06
69,16099,Travel,118394.12,Rejected,33.0,West,2024-05-12,2024-06-14
70,17877,Property,30386.92,Approved,27.0,South,2024-04-06,2024-05-03
71,12545,Motor,193627.24,Approved,38.0,South,2024-08-06,2024-09-13
72,18560,Property,163224.46,Approved,16.0,South,2024-03-11,2024-03-27
73,13662,Motor,26396.14,Approved,42.0,North,2024-09-30,2024-11-11
74,16729,Motor,28741.64,Rejected,5.0,South,2024-12-16,2024-12-21
75,13454,Motor,120922.4,Approved,37.0,North,2024-05-13,2024-06-19
76,14808,Health,72253.39,Approved,21.0,South,2024-03-06,2024-03-27
77,18048,Property,11806.64,Approved,28.0,West,2024-05-06,2024-06-03
78,16520,Health,110620.09,Rejected,22.0,West,2024-07-23,2024-08-14
79,10544,Motor,80629.79,Pending,,East,2024-10-24,
80,16216,Health,24709.92,Rejected,8.0,West,2024-04-26,2024-05-04
81,17117,Motor,161374.48,Approved,32.0,East,2024-09-23,2024-10-25
82,14599,Travel,183439.97,Approved,18.0,West,2024-10-08,2024-10-26
83,13423,Health,152535.82,Approved,8.0,North,2024-05-28,2024-06-05
84,14805,Motor,165372.35,Approved,20.0,West,2024-07-12,2024-08-01
85,14483,Health,47215.66,Approved,29.0,East,2024-06-16,2024-07-15
86,16971,Health,56396.73,Approved,11.0,East,2024-11-07,2024-11-18
87,17119,Motor,45662.87,Approved,28.0,South,2024-06-27,2024-07-25
88,11097,Health,154187.37,Rejected,14.0,North,2024-05-27,2024-06-10
89,16860,Motor,189843.83,Approved,3.0,West,2024-02-26,2024-02-29
90,15435,Health,144783.26,Approved,23.0,South,2024-01-05,2024-01-28
91,11943,Travel,176886.02,Approved,21.0,West,2024-01-14,2024-02-04
92,11719,Travel,129546.32,Rejected,44.0,West,2024-10-06,2024-11-19
93,15768,Health,80593.68,Rejected,6.0,South,2024-11-19,2024-11-25
94,18482,Health,88023.51,Rejected,7.0,South,2024-10-30,2024-11-06
95,19166,Motor,19687.68,Approved,36.0,South,2024-08-03,2024-09-08
96,10414,Health,11134.15,Pending,,South,2024-06-23,
97,19042,Motor,140617.74,Approved,36.0,South,2024-11-11,2024-12-17
98,17105,Motor,90493.63,Approved,4.0,West,2024-01-03,2024-01-07
99,12728,Motor,112681.94,Pending,,South,2024-05-16,
100,17203,Motor,113743.94,Approved,8.0,North,2024-04-09,2024-04-17
101,14641,Health,59088.28,Approved,30.0,East,2024-03-23,2024-04-22
102,10741,Motor,97799.04,Approved,16.0,South,2024-10-06,2024-10-22
103,10591,Health,96798.24,Approved,12.0,South,2024-05-11,2024-05-23
104,10749,Motor,80743.31,Pending,,West,2024-01-01,
105,12219,Motor,165031.7,Approved,5.0,South,2024-04-25,2024-04-30
106,19029,Health,92976.98,Approved,25.0,South,2024-07-20,2024-08-14
107,18725,Motor,122710.68,Approved,12.0,South,2024-05-19,2024-05-31
108,14460,Motor,179626.42,Approved,7.0,West,2024-05-25,2024-06-01
109,17511,Health,173915.56,Approved,19.0,South,2024-09-22,2024-10-11
110,19965,Motor,178632.33,Approved,16.0,East,2024-07-20,2024-08-05
111,17508,Travel,57650.97,Approved,4.0,West,2024-05-31,2024-06-04
112,12653,Motor,11821.59,Approved,18.0,East,2024-08-09,2024-08-27
113,12570,Motor,55908.03,Pending,,West,2024-03-19,
114,15748,Health,59347.93,Approved,35.0,South,2024-07-18,2024-08-22
115,10264,Motor,182325.26,Approved,31.0,East,2024-09-06,2024-10-07
116,13595,Motor,131602.33,Approved,20.0,West,2024-04-08,2024-04-28
117,12034,Motor,20932.27,Approved,10.0,North,2024-07-31,2024-08-10
118,13202,Motor,31398.83,Rejected,41.0,South,2024-05-22,2024-07-02
119,18573,Travel,35356.84,Pending,,West,2024-07-08,
120,19358,Motor,127932.24,Approved,28.0,North,2024-10-27,2024-11-24
121,10388,Health,148405.73,Rejected,26.0,West,2024-02-21,2024-03-18
122,16197,Travel,172630.56,Approved,8.0,North,2024-04-21,2024-04-29
123,12071,Motor,188424.13,Approved,8.0,South,2024-05-14,2024-05-22
124,18586,Property,44332.39,Approved,21.0,East,2024-04-21,2024-05-12
125,17840,Motor,65405.63,Approved,44.0,North,2024-01-13,2024-02-26
126,13256,Property,51862.96,Approved,37.0,West,2024-09-29,2024-11-05
127,14019,Motor,74958.51,Rejected,20.0,South,2024-08-20,2024-09-09
128,16058,Health,183359.7,Approved,3.0,North,2024-02-13,2024-02-16
129,16630,Motor,117146.95,Pending,,West,2024-03-13,
130,12859,Motor,148947.42,Rejected,18.0,West,2024-09-17,2024-10-05
131,12393,Health,100573.25,Approved,25.0,West,2024-08-18,2024-09-12
132,16819,Health,10627.29,Approved,10.0,North,2024-02-02,2024-02-12
133,16071,Motor,17518.12,Approved,2.0,North,2024-03-08,2024-03-10
134,12050,Motor,109894.99,Pending,,North,2024-01-16,
135,13121,Health,145163.86,Approved,29.0,East,2024-05-29,2024-06-27
136,19116,Health,46989.45,Approved,16.0,North,2024-10-18,2024-11-03
137,14971,Property,145772.37,Approved,22.0,North,2024-04-11,2024-05-03
138,17695,Health,163079.83,Approved,16.0,North,2024-07-04,2024-07-20
139,13354,Property,85320.01,Approved,24.0,East,2024-01-25,2024-02-18
140,14474,Health,150551.75,Approved,3.0,North,2024-03-12,2024-03-15
141,13397,Motor,83785.84,Approved,37.0,West,2024-03-21,2024-04-27
142,15417,Motor,137278.37,Approved,10.0,North,2024-03-01,2024-03-11
143,13768,Health,153979.42,Approved,3.0,West,2024-01-18,2024-01-21
144,16281,Health,198425.69,Approved,3.0,West,2024-08-29,2024-09-01
145,12981,Motor,72352.35,Approved,19.0,West,2024-02-27,2024-03-17
146,15521,Motor,85152.95,Approved,18.0,East,2024-11-27,2024-12-15
147,13472,Property,37295.91,Approved,42.0,East,2024-02-26,2024-04-08
148,12617,Health,44794.25,Approved,9.0,East,2024-04-06,2024-04-15
149,15481,Motor,140212.03,Approved,35.0,North,2024-08-02,2024-09-06
150,16209,Motor,183823.89,Approved,35.0,West,2024-11-14,2024-12-19
151,13499,Motor,81947.97,Approved,6.0,East,2024-01-12,2024-01-18
152,16995,Motor,40069.67,Approved,30.0,East,2024-01-11,2024-02-10
153,17881,Motor,60594.4,Approved,29.0,North,2024-06-11,2024-07-10
154,13592,Motor,93735.08,Rejected,17.0,East,2024-10-09,2024-10-26
155,18623,Health,61676.81,Rejected,15.0,North,2024-08-04,2024-08-19
156,16054,Motor,50547.92,Rejected,3.0,South,2024-12-25,2024-12-28
157,17272,Travel,148516.98,Rejected,41.0,East,2024-11-18,2024-12-29
158,19304,Travel,6529.76,Approved,5.0,South,2024-08-28,2024-09-02
159,14696,Motor,110149.95,Approved,42.0,North,2024-12-10,2025-01-21
160,17546,Health,159784.53,Approved,32.0,West,2024-02-14,2024-03-17
161,16473,Motor,56914.52,Approved,27.0,East,2024-03-21,2024-04-17
162,15222,Travel,122641.84,Approved,28.0,North,2024-09-11,2024-10-09
163,12449,Motor,135435.52,Rejected,35.0,West,2024-03-07,2024-04-11
164,15802,Health,132729.82,Approved,32.0,West,2024-04-11,2024-05-13
165,10544,Health,91940.68,Approved,12.0,South,2024-03-31,2024-04-12
166,16652,Motor,72582.71,Approved,9.0,North,2024-02-11,2024-02-20
167,16327,Motor,168005.19,Approved,13.0,West,2024-10-02,2024-10-15
168,17058,Health,152896.96,Approved,36.0,East,2024-10-30,2024-12-05
169,12628,Health,67644.76,Rejected,35.0,East,2024-09-30,2024-11-04
170,13451,Motor,25088.74,Approved,14.0,South,2024-03-17,2024-03-31
171,18729,Health,19002.47,Rejected,28.0,West,2024-08-21,2024-09-18
172,11436,Motor,23383.82,Approved,9.0,North,2024-07-20,2024-07-29
173,18087,Health,118659.53,Rejected,22.0,East,2024-08-08,2024-08-30
174,16661,Motor,15074.12,Approved,42.0,West,2024-09-18,2024-10-30
175,13062,Travel,70700.74,Approved,12.0,West,2024-02-08,2024-02-20
176,10259,Motor,151873.94,Approved,23.0,South,2024-01-11,2024-02-03
177,17551,Motor,62397.89,Rejected,22.0,East,2024-04-21,2024-05-13
178,14411,Motor,153845.08,Pending,,East,2024-04-17,
179,14841,Motor,150366.07,Approved,4.0,North,2024-04-03,2024-04-07
180,17961,Health,52936.29,Approved,8.0,East,2024-11-06,2024-11-14
181,10718,Motor,147120.33,Pending,,North,2024-03-24,
182,15196,Travel,150816.44,Approved,16.0,East,2024-02-27,2024-03-14
183,12727,Motor,82503.52,Approved,10.0,South,2024-10-19,2024-10-29
184,17546,Motor,46031.99,Approved,44.0,East,2024-01-16,2024-02-29
185,18652,Motor,106647.81,Approved,8.0,North,2024-11-21,2024-11-29
186,12854,Motor,184672.53,Rejected,13.0,North,2024-04-02,2024-04-15
187,15200,Motor,129725.26,Rejected,20.0,South,2024-06-13,2024-07-03
188,14067,Motor,38719.89,Approved,28.0,East,2024-08-02,2024-08-30
189,19894,Motor,138137.6,Approved,19.0,East,2024-05-23,2024-06-11
190,12977,Motor,88304.59,Rejected,14.0,South,2024-09-30,2024-10-14
191,13480,Health,120348.12,Approved,44.0,East,2024-05-17,2024-06-30
192,19933,Health,148142.49,Rejected,2.0,East,2024-07-22,2024-07-24
193,18221,Motor,105414.73,Approved,39.0,North,2024-10-28,2024-12-06
194,13493,Motor,163726.88,Approved,22.0,East,2024-07-28,2024-08-19
195,19173,Property,145820.34,Pending,,East,2024-01-19,
196,10230,Health,124939.3,Approved,14.0,South,2024-10-20,2024-11-03
197,17526,Health,34404.6,Approved,42.0,South,2024-10-19,2024-11-30
198,15281,Motor,168010.08,Approved,24.0,West,2024-10-27,2024-11-20
199,11251,Health,187501.59,Approved,2.0,North,2024-06-10,2024-06-12
200,15340,Health,31708.2,Approved,24.0,East,2024-05-09,2024-06-02
201,16889,Health,100207.02,Pending,,East,2024-02-13,
202,11963,Property,55483.3,Rejected,33.0,West,2024-12-18,2025-01-20
203,13166,Motor,152132.04,Approved,9.0,East,2024-03-23,2024-04-01
204,11778,Motor,145717.78,Approved,27.0,North,2024-05-03,2024-05-30
205,18052,Health,32472.6,Approved,15.0,West,2024-01-27,2024-02-11
206,14870,Travel,176020.32,Approved,25.0,North,2024-10-30,2024-11-24
207,11147,Motor,40289.75,Approved,30.0,West,2024-12-15,2025-01-14
208,12847,Motor,160465.51,Rejected,5.0,West,2024-01-07,2024-01-12
209,13850,Motor,94111.17,Approved,19.0,South,2024-12-06,2024-12-25
210,13070,Motor,69013.1,Rejected,15.0,North,2024-07-17,2024-08-01
211,10620,Health,35856.66,Approved,28.0,East,2024-04-21,2024-05-19
212,10963,Health,37684.78,Approved,42.0,East,2024-03-29,2024-05-10
213,17215,Motor,134068.66,Approved,4.0,North,2024-05-07,2024-05-11
214,12142,Motor,112333.93,Approved,31.0,East,2024-08-17,2024-09-17
215,19692,Motor,28806.66,Approved,37.0,East,2024-01-18,2024-02-24
216,17418,Motor,26976.08,Pending,,North,2024-10-15,
217,11326,Health,19100.56,Approved,19.0,West,2024-06-09,2024-06-28
218,10121,Property,150034.63,Pending,,North,2024-12-17,
219,14313,Travel,143817.01,Approved,11.0,West,2024-10-07,2024-10-18
220,11076,Motor,16394.04,Pending,,East,2024-06-14,
221,11182,Travel,114252.66,Approved,42.0,East,2024-09-16,2024-10-28
222,10794,Health,21511.85,Pending,,East,2024-12-29,
223,19816,Health,181230.43,Approved,33.0,South,2024-07-08,2024-08-10
224,14271,Motor,181887.9,Rejected,18.0,West,2024-12-03,2024-12-21
225,18483,Motor,141155.43,Pending,,South,2024-09-22,
226,17326,Motor,185606.84,Approved,15.0,South,2024-10-17,2024-11-01
227,18682,Motor,163233.34,Approved,38.0,North,2024-12-20,2025-01-27
228,12808,Motor,166565.02,Approved,10.0,South,2024-12-25,2025-01-04
229,13428,Motor,116093.03,Pending,,North,2024-10-05,
230,18825,Motor,64681.54,Approved,25.0,North,2024-08-04,2024-08-29
231,13499,Health,47470.83,Approved,24.0,South,2024-11-16,2024-12-10
232,12172,Motor,68804.0,Approved,32.0,West,2024-12-03,2025-01-04
233,15986,Motor,127556.61,Approved,40.0,West,2024-07-25,2024-09-03
234,13907,Property,38668.02,Rejected,3.0,West,2024-06-01,2024-06-04
235,14699,Property,55434.85,Approved,19.0,West,2024-06-29,2024-07-18
236,17081,Health,96271.87,Approved,17.0,West,2024-07-30,2024-08-16
237,15224,Property,50444.77,Pending,,South,2024-09-29,
238,13468,Health,119785.52,Approved,12.0,South,2024-07-21,2024-08-02
239,15760,Property,185019.33,Approved,3.0,East,2024-07-23,2024-07-26
240,10490,Motor,150877.43,Approved,15.0,West,2024-06-01,2024-06-16
241,14263,Motor,134953.19,Approved,5.0,South,2024-06-18,2024-06-23
242,17769,Motor,118630.69,Approved,40.0,East,2024-08-28,2024-10-07
243,18950,Motor,100149.84,Rejected,35.0,West,2024-10-13,2024-11-17
244,11197,Motor,41379.95,Approved,40.0,North,2024-09-01,2024-10-11
245,11904,Health,179468.54,Approved,10.0,East,2024-11-16,2024-11-26
246,15269,Health,53464.52,Approved,41.0,South,2024-03-20,2024-04-30
247,11650,Health,22805.23,Approved,42.0,North,2024-04-01,2024-05-13
248,13191,Motor,151252.96,Rejected,8.0,North,2024-05-28,2024-06-05
249,10027,Travel,39245.03,Approved,18.0,North,2024-01-30,2024-02-17
250,16260,Health,77519.72,Approved,24.0,East,2024-05-02,2024-05-26
251,12750,Motor,10515.56,Approved,12.0,South,2024-11-21,2024-12-03
252,12879,Health,31728.25,Approved,23.0,North,2024-01-29,2024-02-21
253,14357,Motor,38774.71,Approved,19.0,West,2024-09-15,2024-10-04
254,12832,Motor,15609.97,Approved,29.0,North,2024-07-04,2024-08-02
255,13109,Property,133048.11,Approved,17.0,North,2024-03-15,2024-04-01
256,19652,Motor,168216.52,Rejected,43.0,East,2024-02-14,2024-03-28
257,15758,Motor,77796.5,Approved,5.0,East,2024-03-09,2024-03-14
258,12921,Travel,175542.41,Rejected,37.0,South,2024-07-28,2024-09-03
259,11433,Health,46602.58,Rejected,23.0,West,2024-08-26,2024-09-18
260,14428,Motor,68451.13,Approved,12.0,East,2024-12-05,2024-12-17
261,17698,Motor,34393.71,Approved,22.0,North,2024-11-03,2024-11-25
262,18111,Motor,126009.04,Approved,41.0,South,2024-07-10,2024-08-20
263,13536,Health,86874.57,Approved,42.0,North,2024-04-12,2024-05-24
264,16863,Motor,124590.25,Rejected,17.0,North,2024-08-28,2024-09-14
265,11181,Motor,153526.61,Approved,43.0,East,2024-09-09,2024-10-22
266,13405,Property,111412.09,Approved,10.0,South,2024-08-07,2024-08-17
267,13914,Health,127387.92,Approved,36.0,West,2024-12-01,2025-01-06
268,19975,Motor,187373.81,Approved,35.0,West,2024-08-04,2024-09-08
269,13722,Health,63317.54,Approved,10.0,East,2024-07-20,2024-07-30
270,12642,Health,75036.97,Rejected,14.0,East,2024-01-29,2024-02-12
271,17577,Motor,144952.16,Approved,7.0,South,2024-07-30,2024-08-06
272,13711,Motor,124204.58,Rejected,5.0,West,2024-06-02,2024-06-07
273,12960,Travel,39813.92,Approved,29.0,West,2024-08-18,2024-09-16
274,14830,Motor,78348.73,Approved,12.0,West,2024-04-11,2024-04-23
275,15458,Health,96228.41,Approved,35.0,North,2024-11-10,2024-12-15
276,19771,Motor,86781.02,Approved,36.0,West,2024-06-25,2024-07-31
277,11619,Motor,39763.59,Approved,6.0,North,2024-06-29,2024-07-05
278,16138,Motor,185263.87,Rejected,40.0,South,2024-08-19,2024-09-28
279,16680,Motor,153652.16,Rejected,12.0,North,2024-01-12,2024-01-24
280,12340,Motor,98864.39,Approved,13.0,South,2024-07-04,2024-07-17
281,19419,Motor,137611.9,Approved,44.0,West,2024-09-05,2024-10-19
282,11728,Travel,179970.12,Approved,20.0,West,2024-09-22,2024-10-12
283,13585,Property,31553.96,Rejected,14.0,South,2024-05-14,2024-05-28
284,10201,Health,53822.74,Approved,5.0,East,2024-09-01,2024-09-06
285,15985,Travel,110826.74,Pending,,South,2024-01-31,
286,16175,Motor,160807.02,Approved,3.0,East,2024-12-12,2024-12-15
